title,text,label
Government announces new education policy,the government announced a new education policy to improve learning outcomes in schools.,real
Scientists discover new planet,scientists reported the discovery of a new planet using advanced telescope observations.,real
New technology improves internet speed,researchers developed a technology that can improve internet connection speed.,real
Famous actor wins international award,the actor received an international award at a ceremony attended by filmmakers.,real
Weather department issues rainfall warning,the weather department issued a warning about heavy rainfall in several regions.,real
Aliens land in Delhi and meet government,aliens landed in delhi yesterday and signed a secret agreement with the government.,fake
Drinking water makes people invisible,scientists confirmed that drinking five glasses of water can make humans invisible.,fake
Moon will disappear for seven days,a viral message claims that the moon will completely disappear for seven days next month.,fake
Mobile phones can charge themselves forever,a social media post claims that a new phone can charge itself forever without electricity.,fake
Government gives free cars to every citizen,a viral article claims that the government has decided to give a free car to every citizen.,fake
